,age,hrswork1,uhrswork,incwage,ran,wageW,LwageW,educ
2066-1,35,25,25,5005,1.10231014,96.25,4.566948973,17
2067-1,30,40,40,13005,0.893193763,255,5.541263545,12
2068-1,54,40,40,13885,0.430417247,267.0192308,5.587320681,12
2069-1,51,40,40,13005,1.377140172,250.0961538,5.521845459,12
2070-1,28,40,40,5505,0.183055177,137.625,4.924532595,7
2071-1,55,47,45,19435,0.375227071,373.75,5.923587125,12
2072-1,26,40,40,10005,1.377261709,192.4038462,5.259596528,15
2073-1,33,40,48,7715,0.506849028,148.3653846,4.999678046,8
2074-1,44,38,38,3495,1.377286855,99.85714286,4.603740593,9
2075-1,36,0,40,12025,1.377342269,300.625,5.705863641,15
2076-1,27,20,20,3505,0.723430887,67.40384615,4.210702081,12
2077-1,23,45,40,13205,1.967196818,330.125,5.799471371,16
2078-1,26,40,40,14305,0.431023072,275.0961538,5.617120687,17
2079-1,27,38,40,7505,1.104005612,144.3269231,4.972081025,12
2080-1,21,0,38,5005,1.536724158,135.2702703,4.907274779,12
2081-1,22,40,40,5805,1.104154158,120.9375,4.795273883,12
2082-1,58,40,40,7505,0.660473946,144.3269231,4.972081025,14
2083-1,48,40,40,5875,0.299089588,146.875,4.989581885,12
2084-1,20,40,36,3075,0.894452911,123,4.812184355,12
2085-1,44,40,40,10115,1.378233545,194.5192308,5.270531031,14
2086-1,41,40,40,7005,1.734734979,134.7115385,4.90313574,11
2087-1,40,40,40,3235,0.660704914,64.7,4.169761202,12
2088-1,24,20,15,1005,1.840994228,100.5,4.610157727,17
2089-1,19,8,26,2505,1.907882746,62.625,4.137164559,12
2090-1,37,40,40,19005,0.508263241,365.4807692,5.901213663,18
2091-1,21,20,40,1005,1.378415152,83.75,4.427836171,15
2092-1,24,40,40,3505,1.10528199,100.1428571,4.606597738,12
2093-1,56,40,40,12005,1.968396828,230.8653846,5.44183479,12
2094-1,35,38,38,6005,0.736321323,115.4807692,4.749104016,11
2095-1,27,8,40,7505,0.184831209,187.625,5.23444529,12
2096-1,36,40,40,3605,0.377418473,150.2083333,5.012023219,14
2097-1,32,60,40,12305,1.735423692,236.6346154,5.466517244,17
2098-1,29,40,38,4505,0.895455945,173.2692308,5.154846632,12
2099-1,32,40,40,7855,0.895521138,163.6458333,5.09770454,12
2100-1,41,40,40,8845,0.185263809,170.0961538,5.136363888,12
2101-1,50,56,45,8585,1.735627186,204.4047619,5.320102155,12
2102-1,27,37,38,7005,0.509155914,137.3529412,4.922553826,12
2103-1,19,20,40,2905,0.628574286,145.25,4.978456396,12
2104-1,30,40,40,15005,1.817274373,288.5576923,5.664895039,13
2105-1,59,40,43,20535,0.895816833,540.3947368,6.292299867,18
2106-1,20,11,11,385,1.106615644,18.33333333,2.908720897,14
2107-1,41,40,40,8005,0.707197003,153.9423077,5.036577907,12
2108-1,44,40,40,2705,1.053461805,100.1851852,4.607020325,12
2109-1,31,40,40,6005,0.880209263,125.1041667,4.829146724,12
2110-1,55,40,40,13005,0.186827034,250.0961538,5.521845459,12
2111-1,61,40,30,11875,1.525201835,228.3653846,5.43094691,12
2112-1,20,15,25,505,1.522194128,63.125,4.145116888,13
2113-1,28,35,35,17555,1.38156116,337.5961538,5.82185037,15
2114-1,41,40,40,6005,0.187165104,115.4807692,4.749104016,12
2115-1,44,40,40,8505,0.187466852,163.5576923,5.097165786,12
2116-1,55,35,18,2675,0.9822133,63.69047619,4.154035041,12
2117-1,23,0,40,8075,1.737200655,155.2884615,5.04528443,13
2118-1,33,0,40,9405,1.054103021,191.9387755,5.257176444,12
2119-1,27,30,32,1445,0.187775586,90.3125,4.503275878,12
2120-1,21,24,40,4005,1.38226524,133.5,4.894101478,13
2121-1,20,40,60,16125,0.187976286,310.0961538,5.736882423,12
2122-1,40,40,40,20005,1.737392973,384.7115385,5.952493803,17
2123-1,57,40,40,20005,1.382591669,384.7115385,5.952493803,13
2124-1,33,35,35,17005,1.382628456,327.0192308,5.790018979,16
2125-1,25,42,39,7605,1.737549435,152.1,5.024538199,12
2126-1,26,25,40,1005,0.188340433,62.8125,4.140154098,14
2127-1,22,60,20,1505,0.188402366,50.16666667,3.915350796,15
2128-1,40,40,40,22365,0.380284153,430.0961538,6.064008797,18
2129-1,56,40,40,16235,1.383143477,312.2115385,5.743680966,17
2130-1,28,40,40,10505,1.296249218,202.0192308,5.308362895,16
2131-1,55,20,36,7205,1.055034809,138.5576923,4.93128679,12
2132-1,40,0,40,6225,1.738130581,239.4230769,5.478232183,12
2133-1,63,40,40,22005,1.353872474,423.1730769,6.047781261,19
2134-1,38,30,30,3905,0.611094758,75.09615385,4.318769344,10
2135-1,60,36,35,10005,0.882869586,250.125,5.521960793,12
2136-1,59,0,24,305,0.437180046,25.41666667,3.235405127,7
2137-1,59,0,40,875,0.585016795,30.17241379,3.406928056,10
2138-1,39,27,40,6005,0.303728506,120.1,4.788324729,12
2139-1,26,40,40,7125,0.189026352,137.0192308,4.920121287,12
2140-1,54,28,30,18005,1.738748513,346.25,5.847161058,16
2141-1,38,20,10,2005,0.611730386,125.3125,4.830810618,18
2142-1,61,8,32,6275,1.984367613,125.5,4.832305759,12
2143-1,27,15,13,785,0.900544226,49.0625,3.893094996,12
2144-1,43,0,40,8105,0.189306214,270.1666667,5.599039053,12
2145-1,22,0,20,1405,1.447061077,58.54166667,4.069738751,9
2146-1,42,40,40,4455,0.18937001,92.8125,4.530581329,4
2147-1,42,30,38,1705,0.742162112,60.89285714,4.10911588,9
2148-1,26,38,35,6505,0.189490151,135.5208333,4.90912538,16
2149-1,39,40,40,7005,1.384587958,134.7115385,4.90313574,12
2150-1,36,40,40,14605,1.384589355,280.8653846,5.637875496,12
2151-1,20,50,15,2345,1.918415073,117.25,4.764308407,14
2152-1,51,0,40,4025,0.901232939,287.5,5.66122286,12
2153-1,23,30,48,605,1.739783678,60.5,4.102643365,16
2154-1,40,40,40,8005,0.382054131,200.125,5.298942171,12
2155-1,31,40,40,15505,1.11076748,298.1730769,5.697674113,19
2156-1,57,35,35,20025,1.385181677,526.9736842,6.267150612,18
2157-1,38,11,31,16505,0.339874998,434.3421053,6.073832485,16
2158-1,26,32,40,8705,0.613033306,174.1,5.159629847,12
2159-1,33,60,60,8205,1.111210324,157.7884615,5.061255285,12
2160-1,28,43,40,13005,1.111353282,250.0961538,5.521845459,12
2161-1,48,45,48,14665,0.668105669,282.0192308,5.641975263,12
2162-1,35,40,40,10005,1.111428719,192.4038462,5.259596528,12
2163-1,22,28,40,1505,1.97402807,83.61111111,4.426176419,13
2164-1,48,0,30,2005,1.058029942,154.2307692,5.038449982,16
2165-1,59,30,30,7585,0.340369064,151.7,5.021904886,12
2166-1,25,38,38,6005,0.190668274,187.65625,5.234611832,13
2167-1,36,16,20,1435,1.98634807,79.72222222,4.37854837,12
2168-1,38,14,20,2055,1.111610327,68.5,4.226833745,17
2169-1,57,25,25,5305,1.97439827,117.8888889,4.769742561,11
2170-1,19,40,40,7505,1.740914769,144.3269231,4.972081025,12
2171-1,57,40,40,9505,1.111836173,182.7884615,5.208329536,13
2172-1,62,15,38,9605,0.191293191,184.7115385,5.218795357,12
2173-1,54,24,40,7895,0.903203152,151.8269231,5.022741208,9
2174-1,23,0,40,12005,1.112229191,230.8653846,5.44183479,11
2175-1,24,20,20,2505,1.629849896,52.1875,3.954843003,16
2176-1,35,0,40,6965,0.440431759,145.1041667,4.977451875,11
2177-1,58,16,40,5005,0.440576579,125.125,4.829313238,0
2178-1,36,40,40,10005,1.387010794,192.4038462,5.259596528,14
2179-1,46,40,40,7055,0.383762177,135.6730769,4.910248146,12
2180-1,22,40,40,5305,0.903787091,204.0384615,5.318308513,16
2181-1,32,0,44,6445,1.113216858,123.9423077,4.819816197,13
2182-1,39,40,45,11005,0.74491743,211.6346154,5.354861275,16
2183-1,20,23,38,8185,0.517857727,272.8333333,5.608861108,12
2184-1,55,40,40,8675,0.745055266,206.547619,5.330530987,14
2185-1,20,5,15,2205,1.920716371,73.5,4.297285406,14
2186-1,57,40,8,12005,1.920832321,230.8653846,5.44183479,9
2187-1,24,40,9,855,1.113832928,142.5,4.959342,11
2188-1,44,40,40,9405,0.441216398,180.8653846,5.197753023,10
2189-1,62,32,40,4205,1.742334105,150.1785714,5.011825062,7
2190-1,32,40,40,5205,1.114005689,185.8928571,5.225170471,5
2191-1,59,40,46,10665,1.742360648,213.3,5.362699625,12
2192-1,47,40,40,6965,1.531935297,142.1428571,4.956832588,12
2193-1,21,20,20,18005,0.807807781,346.25,5.847161058,14
2194-1,43,40,40,9005,0.193100888,173.1730769,5.154291539,12
2195-1,41,40,40,6505,1.742812805,130.1,4.868303386,12
2196-1,36,20,40,2505,1.742870081,208.75,5.341137364,16
2197-1,51,44,35,7505,0.531775877,150.1,5.011301739,11
2198-1,61,20,7,2345,0.38535893,90.19230769,4.501944143,12
2199-1,50,38,37,12005,0.193343498,230.8653846,5.44183479,16
2200-1,39,40,40,12775,1.389225014,245.6730769,5.504001696,13
2201-1,36,12,40,8845,0.90554636,170.0961538,5.136363888,12
2202-1,38,6,6,1005,1.38946576,19.32692308,2.961499102,12
2203-1,32,40,40,8005,0.193830114,153.9423077,5.036577907,16
2204-1,64,25,32,14045,1.115020365,270.0961538,5.598778021,9
2205-1,32,16,16,7005,0.905833207,194.5833333,5.27086052,15
2206-1,64,32,30,8225,1.101189293,158.1730769,5.063689857,11
2207-1,35,35,35,14205,0.194084831,273.1730769,5.610105576,16
2208-1,32,38,38,14725,1.743814908,283.1730769,5.64605829,12
2209-1,25,0,40,2005,0.386213884,91.13636364,4.512356886,12
2210-1,31,40,40,12505,0.310141128,240.4807692,5.482640125,13
2211-1,46,25,25,6005,1.978404354,115.4807692,4.749104016,16
2212-1,56,50,50,505,1.390308142,9.711538462,2.273314711,13
2213-1,22,42,45,9205,1.115863211,177.0192308,5.176258375,13
2214-1,32,35,35,11005,1.116039697,211.6346154,5.354861275,13
2215-1,21,0,20,5985,1.116139814,230.1923077,5.43891508,13
2216-1,25,40,40,7505,0.194589142,144.3269231,4.972081025,12
2217-1,21,0,40,8375,0.906516798,190.3409091,5.248816723,12
2218-1,28,48,45,16685,0.618767925,340.5102041,5.830445093,12
2219-1,35,40,40,14005,0.906628091,269.3269231,5.595925969,12
2220-1,34,40,40,12005,0.195160974,230.8653846,5.44183479,12
2221-1,45,40,40,8845,1.304139849,170.0961538,5.136363888,14
2222-1,56,32,40,7325,1.391603611,149.4897959,5.007228136,8
2223-1,21,58,40,5265,0.195433386,175.5,5.167639043,14
2224-1,34,24,23,3005,1.391623169,57.78846154,4.056789128,12
2225-1,29,45,25,505,1.391689293,20.2,3.005682604,13
2226-1,48,39,38,10005,0.195649918,192.4038462,5.259596528,12
2227-1,65,20,25,2905,1.745501999,72.625,4.285309215,9
2228-1,28,30,30,5995,0.801414251,115.2884615,4.747437349,11
2229-1,37,40,35,405,1.74573157,45,3.80666249,13
2230-1,35,45,50,13115,0.619632658,252.2115385,5.530268174,14
2231-1,62,1,1,1005,0.19624969,23.37209302,3.151542705,12
2232-1,23,0,40,125,1.569139771,125,4.828313737,12
2233-1,23,40,40,3505,1.440693624,100.1428571,4.606597738,12
2234-1,33,40,40,3505,0.388174318,97.36111111,4.578426861,10
2235-1,58,8,7,10925,1.981919631,210.0961538,5.347565301,10
2236-1,59,40,40,6245,0.19650301,120.0961538,4.788292704,14
2237-1,40,40,40,2405,0.620250124,200.4166667,5.300398533,17
2238-1,31,38,40,16505,0.196690671,412.625,6.02253919,17
2239-1,51,32,22,1785,1.535743009,34.32692308,3.535929976,12
2240-1,64,32,20,2255,1.096418593,112.75,4.725172978,12
2241-1,44,22,40,4685,0.196745154,120.1282051,4.788559549,12
2242-1,31,37,40,2105,0.749366824,175.4166667,5.167164096,12
2243-1,60,40,40,19005,1.118490472,404.3617021,6.00230978,13
2244-1,20,40,40,3005,1.982409973,107.3214286,4.675828337,11
2245-1,18,40,40,4005,1.118508168,77.01923077,4.344055141,12
2246-1,23,43,40,5205,1.392910723,100.0961538,4.606131262,11
2247-1,33,40,40,12445,0.90903556,253.9795918,5.537253917,20
2248-1,29,0,40,11975,0.909059308,362.8787879,5.894068861,18
2249-1,25,40,40,11005,1.746488269,343.90625,5.840369091,12
2250-1,20,22,22,505,0.197200105,9.711538462,2.273314711,14
2251-1,28,45,40,3505,1.393206418,175.25,5.166213526,14
2252-1,40,40,40,17375,0.622122083,334.1346154,5.811543952,18
2253-1,34,24,24,7805,0.909788534,150.0961538,5.011276114,13
2254-1,61,40,40,8005,0.750222243,153.9423077,5.036577907,0
2255-1,23,8,40,13005,1.746991184,250.0961538,5.521845459,13
2256-1,22,0,40,4005,1.747050788,143.0357143,4.963094349,12
2257-1,21,48,40,6505,0.62275026,125.0961538,4.829082672,15
2258-1,26,40,40,12005,1.747318078,230.8653846,5.44183479,12
2259-1,54,30,30,16005,0.198048539,307.7884615,5.729412734,17
2260-1,31,40,40,9005,0.448557083,346.3461538,5.84743872,14
2261-1,48,12,19,2005,0.910977367,45.56818182,3.819209706,13
2262-1,32,40,40,10805,1.983861439,207.7884615,5.33652055,16
2263-1,52,40,40,12005,0.198572408,1200.5,7.090493416,16
2264-1,18,40,20,2005,0.623152591,50.125,3.914519886,11
2265-1,37,40,40,13505,0.623200554,270.1,5.598792261,10
2266-1,40,40,45,5725,0.623430591,110.0961538,4.70135411,8
2267-1,21,40,40,2005,1.747932285,38.55769231,3.652155621,12
2268-1,18,12,12,3905,0.911653508,86.77777778,4.463350573,12
2269-1,23,40,40,8005,1.748172566,153.9423077,5.036577907,16
2270-1,21,40,40,4685,0.526119024,90.09615385,4.500877476,12
2271-1,26,40,40,7505,0.199066941,144.3269231,4.972081025,12
2272-1,40,55,48,8295,0.526172109,159.5192308,5.072164484,12
2273-1,19,0,20,3285,0.815002713,91.25,4.513602992,13
2274-1,34,50,45,10005,1.748601906,357.3214286,5.878635737,18
2275-1,33,40,40,8845,0.751927029,170.0961538,5.136363888,12
2276-1,27,40,40,10925,1.48174772,210.0961538,5.347565301,12
2277-1,35,40,40,7805,0.912460499,150.0961538,5.011276114,14
2278-1,57,43,40,1055,1.122050919,20.28846154,3.010052327,14
2279-1,18,48,42,3005,0.912505202,273.1818182,5.610137574,12
2280-1,61,0,40,805,0.912585761,115,4.744932128,11
2281-1,21,30,30,3395,0.945018139,67.9,4.218036035,12
2282-1,21,40,40,8005,1.985291485,153.9423077,5.036577907,14
2283-1,36,24,30,2905,0.75248396,80.69444444,4.390669731,12
2284-1,56,16,40,205,1.397166401,25.625,3.243568437,9
2285-1,21,48,25,5405,1.229489222,103.9423077,4.643836011,13
2286-1,54,40,40,17815,0.451608561,342.5961538,5.836552359,12
2287-1,28,40,40,10925,0.200551003,210.0961538,5.347565301,16
2288-1,22,40,40,605,0.2005524,151.25,5.018934097,12
2289-1,24,38,38,5005,0.62554609,192.5,5.260096154,12
2290-1,52,40,40,5505,0.201128423,105.8653846,4.662168331,12
2291-1,64,37,36,4645,0.528033357,116.125,4.754667197,10
2292-1,30,33,40,12005,1.397741493,230.8653846,5.44183479,16
2293-1,29,40,40,12005,0.201530755,230.8653846,5.44183479,15
2294-1,56,40,40,8205,1.398189925,205.125,5.323619549,12
2295-1,29,34,34,3505,1.398233231,87.625,4.473066345,12
2296-1,22,40,40,8505,0.20169653,163.5576923,5.097165786,12
2297-1,64,40,40,7005,1.483109314,134.7115385,4.90313574,6
2298-1,32,40,40,14585,1.124314498,280.4807692,5.636505164,12
2299-1,33,40,38,11005,0.201857649,211.6346154,5.354861275,16
2300-1,29,40,40,14415,0.754209701,277.2115385,5.624780891,13
2301-1,50,32,20,1685,0.202098861,70.20833333,4.251467012,10
2302-1,41,45,40,4685,1.931563951,90.09615385,4.500877476,12
2303-1,40,24,40,18365,0.626849476,510.1388889,6.23468302,16
2304-1,46,40,40,9635,1.751638949,185.2884615,5.221913862,10
2305-1,43,40,40,12445,1.399219036,239.3269231,5.477830496,12
2306-1,51,40,30,7805,1.751729287,150.0961538,5.011276114,12
2307-1,36,40,40,15555,0.914236996,324.0625,5.780936398,12
2308-1,51,41,40,7205,1.125162002,138.5576923,4.93128679,8
2309-1,36,40,40,8845,1.891425811,170.0961538,5.136363888,12
2310-1,23,40,40,9935,0.914513133,191.0576923,5.252575436,12
2311-1,27,20,20,1205,1.751978882,38.87096774,3.660247641,12
2312-1,33,40,40,8845,1.541229896,170.0961538,5.136363888,14
2313-1,24,32,40,10055,1.125561073,193.3653846,5.264581584,13
2314-1,60,30,36,14835,0.203400385,285.2884615,5.653500814,12
2315-1,55,40,40,8465,0.530432444,162.7884615,5.092451576,5
2316-1,53,40,40,9245,1.125695184,177.7884615,5.180594425,12
2317-1,22,40,40,8505,1.752540004,163.5576923,5.097165786,12
2318-1,35,52,40,10005,0.203576405,238.2142857,5.473170629,14
2319-1,41,40,40,9505,1.902307384,182.7884615,5.208329536,14
2320-1,24,24,40,7185,1.126447693,276.3461538,5.62165426,17
2321-1,22,8,8,805,1.458012965,23,3.135494216,12
2322-1,57,40,40,6735,1.401188783,129.5192308,4.86382937,8
2323-1,18,0,40,8405,1.934436616,186.7777778,5.229919556,11
2324-1,62,15,15,495,0.54649543,24.75,3.208825489,12
2325-1,52,40,35,13005,0.20428421,361.25,5.889570239,18
2326-1,18,7,40,1125,1.126919407,70.3125,4.252949592,12
2327-1,29,50,48,13585,1.753167715,261.25,5.565477803,12
2328-1,55,24,40,10705,1.753205899,214.1,5.366443196,12
2329-1,43,40,40,7895,1.127005555,151.8269231,5.022741208,15
2330-1,38,40,40,14005,1.539139543,269.3269231,5.595925969,12
2331-1,20,40,40,6565,1.836238895,126.25,4.838264068,12
2332-1,43,40,40,6925,1.401941292,133.1730769,4.891649612,12
2333-1,22,40,40,7705,0.356800389,154.1,5.037601742,15
2334-1,40,40,40,28005,0.205176882,538.5576923,6.288894626,12
2335-1,29,40,40,12005,0.39820699,230.8653846,5.44183479,13
2336-1,27,80,80,6005,1.402252819,125.1041667,4.829146724,12
2337-1,18,8,16,1005,0.781571493,50.25,3.917010547,12
2338-1,24,44,40,12305,1.402371563,236.6346154,5.466517244,16
2339-1,28,40,40,12305,0.758067239,307.625,5.728881509,16
2340-1,34,40,40,9845,1.402440015,189.3269231,5.243475272,15
2341-1,25,40,40,5205,1.990083605,100.0961538,4.606131262,12
2342-1,24,40,40,11005,1.127935946,305.6944444,5.722586056,16
2343-1,40,50,50,4945,0.206178986,130.1315789,4.868546084,20
2344-1,41,40,40,3005,1.824586187,125.2083333,4.829979017,12
2345-1,29,38,33,10005,1.128107775,192.4038462,5.259596528,16
2346-1,21,47,46,8005,1.402871218,160.1,5.07579862,12
2347-1,19,5,20,1205,1.754421275,60.25,4.098502572,14
2348-1,37,38,38,8005,1.164566725,153.9423077,5.036577907,12
2349-1,55,40,40,5985,1.754608937,130.1086957,4.868370222,8
2350-1,42,30,30,4005,1.172493678,121.3636364,4.798791298,10
2351-1,41,40,40,8235,1.431515906,158.3653846,5.064904924,12
2352-1,26,20,34,12705,1.541119535,244.3269231,5.498507177,12
2353-1,30,40,40,755,0.399885233,23.59375,3.160981846,12
2354-1,29,40,40,15005,1.754957251,288.5576923,5.664895039,16
2355-1,58,40,40,17375,1.894351095,334.1346154,5.811543952,12
2356-1,51,40,40,14045,0.399994664,270.0961538,5.598778021,12
2357-1,28,35,35,12635,1.070170198,242.9807692,5.492982301,14
2358-1,48,40,40,7005,1.403681003,159.2045455,5.070189825,9
2359-1,34,30,30,10005,0.207390171,192.4038462,5.259596528,16
2360-1,29,8,10,805,1.173460856,29.81481481,3.395005411,12
2361-1,30,40,40,13005,0.919247977,250.0961538,5.521845459,16
2362-1,54,40,40,22365,0.207474455,430.0961538,6.064008797,12
2363-1,23,48,54,11945,1.332717016,229.7115385,5.436824341,12
2364-1,54,40,40,6805,0.458715484,130.8653846,4.874169197,12
2365-1,25,34,35,7785,0.534738414,311.4,5.741078259,13
2366-1,63,0,50,22505,1.755833626,432.7884615,6.070249067,12
2367-1,55,40,40,2785,0.784312841,139.25,4.936270879,10
2368-1,29,20,8,2005,1.755983569,51.41025641,3.939837694,12
2369-1,40,55,55,11005,1.895354595,220.1,5.394081989,9
2370-1,56,40,18,9005,0.208375044,173.1730769,5.154291539,9
2371-1,40,40,40,6505,1.606020145,162.625,5.091446937,11
2372-1,41,40,40,8005,1.992879435,153.9423077,5.036577907,10
2373-1,27,0,40,435,1.404668204,43.5,3.772760938,10
2374-1,53,15,15,4005,0.209138263,77.01923077,4.344055141,12
2375-1,27,20,40,7175,1.130396966,149.4791667,5.00715703,12
2376-1,60,40,40,6815,0.209260732,131.0576923,4.875637626,13
2377-1,62,40,40,10005,1.756668556,192.4038462,5.259596528,12
2378-1,44,40,40,24005,1.130742487,461.6346154,6.134773702,14
2379-1,50,40,40,15635,0.528192148,300.6730769,5.706023551,14
2380-1,30,0,40,6245,0.209410675,130.1041667,4.868335412,6
2381-1,25,35,48,655,1.131357625,54.58333333,3.999728586,11
2382-1,51,38,38,10005,0.459984411,192.4038462,5.259596528,12
2383-1,26,42,40,14825,0.786027871,285.0961538,5.652826505,16
2384-1,42,34,40,6765,1.131671481,130.0961538,4.868273822,12
2385-1,52,42,40,6435,0.20985119,123.75,4.818263401,14
2386-1,34,46,46,10165,0.921958592,195.4807692,5.275462007,12
2387-1,48,48,40,10505,1.131927595,210.1,5.347583608,12
2388-1,57,37,37,10005,1.406088937,192.4038462,5.259596528,12
2389-1,39,40,40,5135,1.757646911,98.75,4.592591404,12
2390-1,21,0,40,3005,1.757829916,115.5769231,4.749936309,13
2391-1,28,40,40,3505,1.758154947,146.0416667,4.983891969,12
2392-1,50,40,40,12355,0.461027957,333.9189189,5.810898206,16
2393-1,36,40,40,16005,1.132666599,320.1,5.768633447,20
2394-1,59,40,40,12905,0.210738741,280.5434783,5.636728716,12
2395-1,31,32,40,8005,1.758309547,181.9318182,5.203631992,12
2396-1,51,40,40,8405,1.631336287,161.6346154,5.085338327,12
2397-1,54,30,30,15005,1.758429222,300.1,5.704115752,20
2398-1,47,45,40,5305,1.40708033,106.1,4.664382046,6
2399-1,38,23,23,3085,1.544909552,59.32692308,4.083063218,12
2400-1,59,20,20,2605,1.407271717,50.09615385,3.913944236,9
2401-1,48,48,40,7005,0.587551855,134.7115385,4.90313574,12
2402-1,32,40,40,11725,0.211659353,260.5555556,5.562816104,11
2403-1,23,20,25,1305,1.936312299,72.5,4.283586562,12
2404-1,24,0,40,3505,0.969849993,87.625,4.473066345,12
2405-1,38,18,18,3005,1.759263221,57.78846154,4.056789128,12
2406-1,48,40,40,22105,0.211936422,425.0961538,6.052315388,13
2407-1,43,35,40,4005,1.817670185,222.5,5.404927102,12
2408-1,38,45,40,1945,1.869312488,121.5625,4.800428534,11
2409-1,50,45,45,13005,1.133840065,250.0961538,5.521845459,14
2410-1,56,40,40,6605,0.472040847,127.0192308,4.844338498,10
2411-1,33,40,40,6005,1.133930404,115.4807692,4.749104016,12
2412-1,18,32,25,3605,0.329308677,69.32692308,4.238833331,12
2413-1,25,40,40,4105,0.659548212,205.25,5.324228748,19
2414-1,49,43,40,7905,1.067280304,152.0192308,5.024007031,8
2415-1,18,35,35,1265,0.212573912,70.27777778,4.252455643,12
2416-1,54,25,25,3005,1.760253217,57.78846154,4.056789128,12
2417-1,24,40,40,15005,1.408818644,288.5576923,5.664895039,12
2418-1,27,40,40,20005,1.408842392,384.7115385,5.952493803,18
2419-1,32,44,45,12905,0.924983528,248.1730769,5.514126394,12
2420-1,52,40,40,6005,1.569062937,115.4807692,4.749104016,11
2421-1,56,39,39,16005,1.134742983,340.5319149,5.830508851,12
2422-1,54,40,40,9105,1.911194529,175.0961538,5.165335274,15
2423-1,30,0,35,4635,1.13480119,231.75,5.445659204,12
2424-1,41,40,40,9005,1.409833319,173.1730769,5.154291539,12
2425-1,25,24,35,4435,1.358099282,100.7954545,4.613093261,12
2426-1,35,30,35,10585,0.213862397,203.5576923,5.315949465,14
2427-1,39,40,40,7005,1.761204097,134.7115385,4.90313574,12
2428-1,33,48,55,7725,1.410050318,406.5789474,6.007778123,20
2429-1,26,40,40,9005,1.99784385,173.1730769,5.154291539,14
2430-1,34,27,27,5585,1.135444269,111.7,4.715816706,13
2431-1,33,80,40,10005,1.457762904,192.4038462,5.259596528,10
2432-1,18,34,40,2505,1.410271972,62.625,4.137164559,9
2433-1,22,30,38,6005,0.926363748,166.8055556,5.116828796,12
2434-1,60,40,40,16025,1.410336234,308.1730769,5.730661563,14
2435-1,49,38,38,9505,0.766364392,182.7884615,5.208329536,11
2436-1,38,40,40,4505,1.761680003,125.1388889,4.829424232,14
2437-1,23,0,15,1205,0.875565223,43.03571429,3.762030336,15
2438-1,28,40,40,8005,0.407607295,174.0217391,5.159180229,12
2439-1,62,38,38,6505,1.410623547,125.0961538,4.829082672,12
2440-1,50,40,40,10405,0.957714394,200.0961538,5.29879802,9
2441-1,45,40,40,10235,1.136330422,204.7,5.321545493,12
2442-1,41,15,15,2275,1.76227279,66.91176471,4.203374807,12
2443-1,42,40,40,5895,1.410888974,113.3653846,4.730616094,9
2444-1,41,15,15,1955,0.215408858,48.875,3.889266018,12
2445-1,24,32,32,5205,1.762771513,126.9512195,4.843802914,9
2446-1,23,32,32,4005,0.640115235,77.01923077,4.344055141,12
2447-1,41,40,40,15485,0.465380494,430.1388889,6.064108154,16
2448-1,27,32,32,6505,0.365833752,125.0961538,4.829082672,12
2449-1,54,13,20,1605,0.927816145,30.86538462,3.429635317,11
2450-1,65,20,20,3405,0.215804204,65.48076923,4.1817565,10
2451-1,31,40,40,7005,1.763368025,134.7115385,4.90313574,16
2452-1,41,36,36,3125,0.662859529,60.09615385,4.095945844,6
2453-1,61,0,37,4005,0.466208905,108.2432432,4.684380947,0
2454-1,30,24,26,5005,1.763499808,166.8333333,5.11699531,12
2455-1,27,40,35,3435,0.556179322,70.10204082,4.249951907,12
2456-1,27,32,37,6625,1.944197342,127.4038462,4.847361932,12
2457-1,25,40,62,7305,1.383602619,221.3636364,5.399806763,13
2458-1,55,35,35,16505,1.181307714,317.4038462,5.760174926,12
2459-1,45,55,43,12405,1.55599555,238.5576923,5.474611178,16
2460-1,22,40,40,5005,0.768510159,96.25,4.566948973,11
2461-1,50,70,45,20005,0.216729008,384.7115385,5.952493803,12
2462-1,36,35,35,3215,0.287161674,160.75,5.079850363,12
2463-1,24,35,60,12005,0.928507652,230.8653846,5.44183479,15
2464-1,29,24,24,5005,0.216840766,96.25,4.566948973,13
2465-1,61,33,33,11845,0.467027072,282.0238095,5.641991498,12
2466-1,49,40,40,7005,1.764883753,140.1,4.942356453,12
2467-1,37,40,40,13005,1.945517492,333.4615385,5.809527532,17
2468-1,59,10,40,165,1.326771453,10.3125,2.333356752,12
2469-1,31,40,40,7005,0.544042327,134.7115385,4.90313574,11
2470-1,21,15,15,2205,0.467397273,55.125,4.009603334,15
2471-1,47,0,40,7005,1.138578635,175.125,5.165500005,7
2472-1,54,40,40,5005,1.413809601,96.25,4.566948973,10
2473-1,53,40,40,16005,0.544498209,307.7884615,5.729412734,11
2474-1,21,40,40,55005,1.075180247,1057.788462,6.963935651,12
2475-1,30,40,40,17005,1.075217035,327.0192308,5.790018979,14
2476-1,18,40,30,2505,0.307626557,96.34615385,4.567947475,12
2477-1,37,40,48,30005,0.769575126,577.0192308,6.357875595,16
2478-1,22,60,60,18005,1.139284112,391.4130435,5.96976338,16
2479-1,18,0,40,355,0.218124129,71,4.262679877,9
2480-1,30,40,40,15005,1.1761114,375.125,5.927259304,14
2481-1,20,15,14,2405,0.769719016,46.25,3.834061464,14
2482-1,24,50,40,7905,1.766146161,197.625,5.286371296,12
2483-1,40,0,37,5005,0.468472019,119.1666667,4.780523073,12
